,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,quality_shift,buffer_estimate_0,rebuffer_estimate_0,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,bitrate_level_encoded
0,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/1309466822/chop/segment-1.m4s,1572043650.576,1572043651.063,0,0.001,14913,119.304,0,0,6.006,0.0,6.01,0,313000.0,23.98694833333333,0.0,0.0,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,0.0,0.0,0.0,,,,313000.0
1,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429825/chop/segment-1.m4s,1572043651.127,1572043651.1339998,0,0.001,21823,174.58399999999997,0,0,6.006,0.0,6.01,1,503000.0,66.51828020833342,0.0,0.0,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,-1.0,5.945999870300293,0.4869999885559082,,,,503000.0
2,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429819/chop/segment-1.m4s,1572043651.197,1572043651.208,0,0.008,33108,33.108000000000004,0,0,6.006,0.0,6.01,2,1330000.0,83.75753875000014,313000.0,23.98694833333333,0.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,14913.0,23.98694833333333,313000.0,21823.0,66.51828020833342,503000.0,33108.0,83.75753875000014,1330000.0,-2.0,5.875999937057495,0.0,0.001,1.0,174.58399999999997,1330000.0
3,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-1.m4s,1572043651.268,1572043651.2819998,0,0.006999999999999999,44878,51.289142857142856,0,0,6.006,0.0,6.01,3,2544000.0,90.71187958333331,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
4,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-1.m4s,1572043651.345,1572043651.3639998,0,0.012,62983,41.98866666666667,0,0,6.006,0.0,6.01,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
5,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-2.m4s,1572043651.674,1572043652.05,1,0.374,2039272,43.62079144385027,0,0,6.006,6.01,12.02,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
6,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-3.m4s,1572043652.053,1572043652.9,2,0.845,3761127,35.608302958579884,0,0,6.006,12.01,18.02,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
7,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-4.m4s,1572043652.909,1572043653.64,3,0.728,2780779,30.558010989010988,0,0,6.006,18.02,24.03,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
8,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-5.m4s,1572043653.7270002,1572043654.3279998,4,0.599,4007369,53.52078797996661,0,0,6.006,24.02,30.03,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
9,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-6.m4s,1572043654.335,1572043654.8720002,5,0.535,3427239,51.24843364485981,0,0,6.006,30.03,36.04,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
10,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-7.m4s,1572043657.678,1572043658.94,6,1.2590000000000001,4466565,28.381667990468625,0,0,6.006,36.04,42.05,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
11,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-8.m4s,1572043663.709,1572043665.851,7,2.14,4361233,16.303674766355137,0,0,6.006,42.04,48.05,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
12,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-9.m4s,1572043669.678,1572043670.515,8,0.835,3754276,35.969111377245504,0,0,6.006,48.05,54.06,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
13,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-10.m4s,1572043675.705,1572043677.207,9,1.5,4116862,21.95659733333333,0,0,6.006,54.05,60.06,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
14,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-11.m4s,1572043681.7329998,1572043684.304,10,2.567,4201011,13.09235995325282,0,0,6.006,60.06,66.07,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
15,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-12.m4s,1572043687.853,1572043691.2429998,11,3.388,4189652,9.892920897284533,0,0,6.006,66.07,72.08,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
16,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-13.m4s,1572043693.92,1572043693.9220002,12,0.001,3529854,28238.832,0,0,6.006,72.07,78.08,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
17,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-14.m4s,1572043699.687,1572043700.5410001,13,0.852,3804966,35.72738028169014,0,0,6.006,78.08,84.09,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
18,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-15.m4s,1572043705.716,1572043707.637,14,1.9180000000000001,4266963,17.797551616266944,0,0,6.006,84.08,90.09,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
19,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-16.m4s,1572043711.7670002,1572043713.794,15,2.025,4513026,17.82923851851852,0,0,6.006,90.09,96.1,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
20,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-17.m4s,1572043717.745,1572043719.671,16,1.923,3303219,13.741940717628706,0,0,6.006,96.1,102.11,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
21,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-18.m4s,1572043724.805,1572043726.018,17,1.21,3610184,23.86898512396694,0,0,6.006,102.1,108.11,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
22,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-19.m4s,1572043729.72,1572043731.698,18,1.976,5004648,20.261732793522263,0,0,6.006,108.11,114.12,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
23,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-20.m4s,1572043735.7,1572043736.709,19,1.006,3463246,27.54072365805169,0,0,6.006,114.11,120.12,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
24,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-21.m4s,1572043741.695,1572043742.526,20,0.8290000000000001,3231617,31.18568878166465,0,0,6.006,120.12,126.13,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
25,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-22.m4s,1572043747.694,1572043748.337,21,0.64,3279627,40.9953375,0,0,6.006,126.13,132.14,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
26,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-23.m4s,1572043753.684,1572043754.49,22,0.804,4708605,46.85179104477611,0,0,6.006,132.13,138.14,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
27,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-24.m4s,1572043759.689,1572043761.294,23,1.6,4597994,22.98997,0,0,6.006,138.14,144.15,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
28,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-25.m4s,1572043766.771,1572043771.3019998,24,4.473,3713752,6.642078247261346,0,0,6.006,144.14,150.15,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
29,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-26.m4s,1572043771.824,1572043774.343,25,2.517,3950550,12.55637663885578,0,0,6.006,150.15,156.16,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
30,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-27.m4s,1572043777.7670002,1572043783.732,26,5.962999999999999,3436134,4.609939963105819,0,0,6.006,156.16,162.17,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
31,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-28.m4s,1572043783.883,1572043787.6720002,27,3.787,3852725,8.138843411671507,0,0,6.006,162.16,168.17,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
32,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-29.m4s,1572043790.053,1572043791.46,28,1.405,3162410,18.006604982206408,0,0,6.006,168.17,174.18,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
33,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-30.m4s,1572043795.8820002,1572043798.84,29,2.955,3931785,10.644426395939083,0,0,6.006,174.17,180.18,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
34,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-31.m4s,1572043802.05,1572043805.5479999,30,3.4960000000000004,4587923,10.498679633867276,0,0,6.006,180.18,186.19,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
35,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-32.m4s,1572043808.0579998,1572043810.914,31,2.853,4322857,12.121575885033295,0,0,6.006,186.19,192.2,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
36,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-33.m4s,1572043814.367,1572043816.0200002,32,1.65,3571650,17.317090909090908,0,0,6.006,192.19,198.2,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
37,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-34.m4s,1572043819.979,1572043828.434,33,8.452,3492375,3.305608140085187,0,0,6.006,198.2,204.21,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
38,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-35.m4s,1572043828.5229998,1572043832.296,34,3.771,4636068,9.835201272871917,0,0,6.006,204.2,210.21,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
39,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-36.m4s,1572043832.304,1572043835.419,35,3.112,3802437,9.774902313624676,0,0,6.006,210.21,216.22,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
40,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-37.m4s,1572043838.035,1572043840.4970002,36,2.454,2813238,9.171110024449877,0,0,6.006,216.22,222.23,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
41,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-38.m4s,1572043844.0470002,1572043850.8070002,37,6.757999999999999,3134363,3.71040307783368,0,0,6.006,222.22,228.23,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
42,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-39.m4s,1572043851.167,1572043854.339,38,1.5759999999999998,1507078,7.6501421319796945,0,0,6.006,228.23,234.24,3,2544000.0,91.38599680555555,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
43,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-40.m4s,1572043856.015,1572043857.4929998,39,1.029,1992375,15.489795918367347,0,0,6.006,234.23,240.24,3,2544000.0,88.80713263888893,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
44,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-41.m4s,1572043862.021,1572043863.6699998,40,1.039,2040163,15.708666025024064,0,0,6.006,240.24,246.25,3,2544000.0,90.50273832167831,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
45,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-42.m4s,1572043867.949,1572043868.3739998,41,0.41100000000000003,1478823,28.78487591240876,0,0,6.006,246.25,252.26,3,2544000.0,88.72480249999997,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
46,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429826/chop/segment-43.m4s,1572043873.941,1572043874.67,42,0.507,2023209,31.924402366863905,0,0,6.005999999999973,252.25,258.26,3,2544000.0,88.4775527777778,,,,,,,,,,,,,,,,,,,,,,,,,2544000.0
47,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-39.m4s,1572043874.8820002,1572043875.6,38,0.716,3022060,33.76603351955307,0,0,6.006,228.23,234.24,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
48,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-40.m4s,1572043875.607,1572043876.502,39,0.893,4035421,36.15158790593505,0,0,6.006,234.23,240.24,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
49,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-41.m4s,1572043876.51,1572043877.4220002,40,0.91,4189594,36.8315956043956,0,0,6.006,240.24,246.25,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
50,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-42.m4s,1572043877.429,1572043878.0159998,41,0.586,2594298,35.417037542662115,0,0,6.006,246.25,252.26,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
51,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-43.m4s,1572043878.066,1572043878.934,42,0.866,3602042,33.275214780600464,0,0,6.005999999999973,252.25,258.26,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
52,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-44.m4s,1572043879.947,1572043881.25,43,1.3019999999999998,4132243,25.39012596006145,0,0,6.006000000000029,258.26,264.27,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
53,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-45.m4s,1572043885.947,1572043886.762,44,0.8130000000000001,3621108,35.632059040590406,0,0,6.005999999999973,264.26,270.27,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
54,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-46.m4s,1572043891.935,1572043892.764,45,0.8270000000000001,3761136,36.38341958887545,0,0,6.006000000000029,270.27,276.28,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
55,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-47.m4s,1572043897.913,1572043898.4720001,46,0.555,4069189,58.654976576576566,0,0,6.005999999999973,276.28,282.29,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
56,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-48.m4s,1572043903.951,1572043905.3860002,47,1.4340000000000002,4338089,24.20133333333333,0,0,6.006000000000029,282.28,288.29,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
57,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-49.m4s,1572043909.957,1572043911.353,48,1.3940000000000001,3798284,21.79789956958393,0,0,6.005999999999973,288.29,294.3,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
58,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-50.m4s,1572043915.957,1572043917.78,49,1.821,4534750,19.922020867655128,0,0,6.006000000000029,294.29,300.3,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
59,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-51.m4s,1572043921.95,1572043923.458,50,1.507,4874722,25.877754479097554,0,0,6.005999999999973,300.3,306.31,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
60,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-52.m4s,1572043928.0579998,1572043929.678,51,1.619,3868730,19.116639901173567,0,0,6.006000000000029,306.31,312.32,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
61,https://skyfire.vimeocdn.com/1572047545-0xea43d5ee4b7614fefaa878a9ed83624c16ac7985/223494758/sep/video/790429827/chop/segment-53.m4s,1572043933.964,1572043935.279,52,1.314,3015643,18.36007914764079,0,0,5.839145833333305,312.31,318.15,4,4985000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,4985000.0
